Step,Phase,Task,Why This Matters,Responsible,Typical Timeline,Required Documentation
1,Formulation Review,Review every ingredient in the formulation against the current Health Canada Cosmetic Ingredient Hotlist,Prohibited ingredients cannot be sold in Canada regardless of what is permitted in other markets,Regulatory Affairs or Formulation Team,1 to 2 weeks,Ingredient review sign-off. Hotlist check record.
2,Formulation Review,Confirm restricted ingredients are within their permitted concentration limits for the specific product type,An ingredient permitted in a rinse-off product may be prohibited or at a lower limit in a leave-on product,Regulatory Affairs or Formulation Team,Concurrent with Step 1,Formulation specification with concentrations. Restriction compliance record.
3,Product Classification,Confirm the product is classified as a cosmetic not a drug or natural health product,"SPF claims, hair growth claims, healing claims and others trigger drug classification. Wrong classification leads to selling an unapproved drug.",Regulatory Affairs,1 week,Classification rationale document. Claims review.
4,Claims Review,Review all label and marketing claims against Health Canada guidance on acceptable cosmetic claims,Drug-like claims require reclassification. Misleading unsubstantiated claims create regulatory and legal risk.,Regulatory Affairs and Marketing,1 week,Claims review record. Substantiation files for each claim used.
5,Label Review,Confirm label includes all required elements in both English and French,Bilingual labelling is mandatory in Canada. Missing elements prevent legal sale.,Regulatory Affairs or Compliance,3 to 5 days,Label review checklist. Approved label artwork.
6,Label Review,Confirm all ingredients are listed in descending concentration order using correct INCI names,INCI names are required by regulation. Common or trade names are not acceptable.,Regulatory Affairs or Formulation Team,3 to 5 days,INCI ingredient list verified against formulation specification.
7,Label Review,Confirm Canadian importer or manufacturer name and address appears on the label,A foreign manufacturer address alone does not satisfy Canadian labelling requirements,Regulatory Affairs,1 to 2 days,Label review checklist.
8,Notification,Submit Health Canada cosmetic notification form through the online portal within 10 days of first sale in Canada,Notification is legally required. Late submission is a violation even if the product is otherwise compliant.,Regulatory Affairs,Submit before or within 10 days of first sale,Completed notification form. Confirmation from Health Canada portal.
9,Post-Launch,Monitor Health Canada updates to the Cosmetic Ingredient Hotlist and re-assess formulation if new restrictions are added,Ingredients can be added to the Hotlist after a product launches. Companies are responsible for maintaining compliance ongoing.,Regulatory Affairs,Ongoing — review Hotlist quarterly,Quarterly Hotlist review record. Formulation update record if required.
10,Post-Launch,Maintain claim substantiation files for any claim used on the label or in marketing materials,Health Canada or a competitor can challenge a claim at any time. Companies without substantiation files have no defence.,Regulatory Affairs and Marketing,Ongoing,Substantiation file for each active claim. Updated when claims change.
