Product ID,Brand,Product Name,Category,Claims Used,Bilingual Label,INCI Ingredient Format,Health Canada Notification,Hotlist Check Completed,Prohibited Ingredients Found,Restricted Ingredients in Limits,Drug-Like Claims Present,Unsubstantiated Marketing Claims,Compliance Score,Key Gap
PRD-001,Lumière Naturals,Radiance Boost Serum,Serum,Clean beauty. 97% natural origin. Clinically proven to reduce fine lines in 4 weeks.,No,Yes,No,Yes,No,Yes,Yes — clinically proven to reduce fine lines implies physiological effect,Clean beauty. 97% natural origin — no certification,32,Missing bilingual labelling. No Health Canada notification. Drug-like claims require reclassification.
PRD-002,PureRoots,Hydrating Face Cream,Moisturizer,"Non-toxic. Free from parabens, sulfates, phthalates. Dermatologist tested.",Yes,Yes,Yes,Yes,No,Yes,No,Non-toxic — no legal definition. Dermatologist tested — no standard for this term.,74,Unsubstantiated claims with no internal documentation. Otherwise well-compliant.
PRD-003,GlowLab,SPF 30 Daily Moisturizer,Sunscreen,Broad spectrum SPF 30. Protects against UV damage. Lightweight formula.,Yes,Yes,Yes,Yes,No,Yes,Yes — SPF products are classified as drugs in Canada not cosmetics,None beyond SPF claim,25,Critical: SPF claims make this product a drug under Canadian law. Requires Drug Identification Number — not cosmetic notification.
PRD-004,Botanica Co.,Curl Defining Cream,Hair Care,100% natural. Vegan. Cruelty-free.,Yes,No — uses common names not INCI,Yes,No,Unknown — not checked,Unknown,No,100% natural — no certification. Cruelty-free — no accredited certification.,48,Ingredient list uses common names not INCI. Hotlist check not completed. Natural and cruelty-free claims unsubstantiated.
PRD-005,Maison Claire,Brightening Eye Cream,Eye Cream,Clinically tested. Reduces dark circles by 78% in 2 weeks. Ophthalmologist approved.,Yes,Yes,No,Yes,No,Yes,Yes — reduces dark circles by 78% and clinically tested imply physiological drug effect,Ophthalmologist approved — no standard exists for this term,28,Drug-like efficacy claims. No Health Canada notification. Ophthalmologist approved is a meaningless unregulated term.
PRD-006,NorthGlow,Vitamin C Brightening Serum,Serum,Brightens skin tone. Antioxidant protection. Made with 15% Vitamin C.,Yes,Yes,Yes,Yes,No,Yes,No — brightening is cosmetic claim territory,Minor — antioxidant protection is borderline but defensible,88,Minor claim clarification recommended. Otherwise strong compliance.
PRD-007,TerraBotanica,Charcoal Detox Cleanser,Cleanser,Detoxifies pores. Removes toxins. Deep clean for healthier skin.,No,Yes,No,Yes,No,Yes,Yes — removes toxins and detoxifies imply physiological action,Detoxifies — no scientific basis. Removes toxins — skin does not accumulate toxins in the way claimed.,22,Missing bilingual labelling. No notification. Detox and toxin removal claims are misleading and possibly drug claims.
PRD-008,Soleil Skin,Gentle Daily Moisturizer,Moisturizer,Hydrates and softens skin. Suitable for sensitive skin. Fragrance-free.,Yes,Yes,Yes,Yes,No,Yes,No,Suitable for sensitive skin — no dermatological standard but low risk,92,No significant gaps. Best-in-class compliance among products audited.
PRD-009,WildRoots Beauty,Organic Rosehip Face Oil,Face Oil,Certified organic. Heals scars. Reverses signs of aging.,Yes,Yes,Yes,Yes,No,Yes,Yes — heals scars is a drug claim,Reverses signs of aging — drug territory. Certified organic — check if certification is from accredited body.,41,Heals scars is a drug claim requiring reclassification. Reverses aging is borderline. Organic certification must be verified.
PRD-010,CleanSlate Lab,AHA Exfoliating Toner,Toner,Clean formula. Exfoliates dead skin. Resurfaces skin texture.,Yes,Yes,Yes,Yes,No,Yes — AHA at compliant concentration,No — exfoliation is cosmetic territory,Clean formula — no definition provided,79,Clean formula claim needs internal substantiation file. Otherwise compliant.
PRD-011,Velour Cosmetics,Long-Wear Lipstick,Lip Product,Transfer-proof. 16-hour wear. Safe for sensitive lips.,Yes,No — trade names used for several colourants,Yes,No,Unknown — colourant Hotlist check not completed,Unknown,No,"16-hour wear — performance claim, low risk if tested",51,Colourants must be individually checked against the Hotlist. INCI names required for all colourants.
PRD-012,Arctic Botanics,Scalp Treatment Oil,Hair Care,Stimulates hair growth. Clinically shown to reduce hair loss by 40%.,No,Yes,No,Yes,No,Yes,Yes — stimulates hair growth and reduces hair loss are drug claims,Clinically shown — no study referenced or methodology disclosed,14,Critical non-compliance. Hair growth and hair loss claims make this an unapproved drug. Requires Drug Identification Number process.
PRD-013,Marigold Skin,Calming Redness Serum,Serum,Calms redness and irritation. Soothes sensitive skin. Gentle formula.,Yes,Yes,Yes,Yes,No,Yes,No — calming and soothing are cosmetic claims,None significant,90,Well-compliant. Minor recommendation to document claim substantiation for soothing claim.
PRD-014,Ember Beauty,Firming Body Lotion,Body Care,Firms and tones skin. Reduces appearance of cellulite. Non-toxic ingredients.,Yes,Yes,Yes,Yes,No,Yes,No — reduces appearance of is cosmetic territory,Firms and tones — cosmetic claim requiring substantiation file. Non-toxic — no legal definition.,68,Claim substantiation documentation missing. Non-toxic needs internal definition.
PRD-015,PurePath,Micellar Cleansing Water,Cleanser,Removes makeup gently. No rinsing required. Suitable for all skin types.,Yes,Yes,Yes,Yes,No,Yes,No,Suitable for all skin types — low risk claim,94,No significant gaps. Minor documentation recommendation only.
